feature_1,feature_2,feature_3
18.94352801359616,-0.303633301890282,10.591409684033401
9.171129821190418,59.37012441367981,20.896320480551864
10.999207207057541,59.04411747588819,19.786682469888916
20.344224342496442,9.704630193921508,30.08131355318973
60.0279315471161,21.04186566038211,60.30624010820398
80.10287374715928,1.4177226528612588,0.4973511997829841
69.67548019415707,80.94904064074343,69.42279010815618
51.007203218076896,11.010087250678406,58.976197052952784
37.45068805700272,80.16913371910648,58.366583696243495
88.91813540234395,39.780371890318484,19.975194761148458
59.22709049738338,89.19938935299464,1.6841543192585655
59.4367572958744,11.597739603034732,19.949321243328193
78.80130434863136,80.31414147982896,-0.30187699443553384
11.214421153632081,0.8465555613444667,10.039637239335258
60.5564167344129,49.929434525056095,80.30032134599989
8.852040736669805,59.14300534070498,31.426474886654926
80.57284205969637,78.76732860773092,19.074406600512773
90.9509494562775,61.30711539361677,60.898877760657626
68.26247779336292,21.456059271664625,9.921089808995326
-0.20908369683993241,28.5533818201397,79.3066293169442
29.3889010720873,51.641633140507146,39.53757506063088
-1.2692255996580344,70.13883803044301,8.875968201097157
69.97097624379622,89.79684014395195,9.8768522707795
48.21490648942139,90.24216124900585,39.136435680910935
78.58880950070295,80.1483034225908,81.12416313041214
68.57667117674394,61.042496942830226,30.912129858306283
90.73058904396203,10.102421808595901,69.67647999610465
59.24116875571939,48.19690843006626,59.50046234054916
50.77623230381188,79.79460754598293,90.71626586311349
50.36096075009706,50.784214287979246,10.15945572331422
40.13290720031065,80.91262727920453,90.45942754465426
40.23507113029123,9.291265648376362,37.63131946071396
30.135293607912597,29.91528162832927,50.23013603232784
1.8510867776885105,30.359503612721994,19.14535120935712
8.44960817278241,28.792288727285115,19.717862733913357
29.820126236877986,0.8905021485617377,10.008972037301357
30.548475694424326,0.36182244781505896,0.9743014652416357
89.12644368044238,70.05305621895867,11.394710471178282
59.06769349655787,69.94221908689154,69.70230249218561
59.26157213504624,59.91558044851907,29.65284501302787
20.916158388425394,41.405478654975994,60.22403306414759
60.894649991806844,69.94305679451175,39.43826433773938
80.76273502625162,61.38675132395029,60.92574945952726
31.157427686237458,60.125368726101975,79.87658030248596
20.043914643523575,40.52758914086589,69.00880479818254
19.46363871320647,8.522007470461837,19.8920811850593
10.153962092765479,60.5261701071984,31.03042179156379
49.148785452303656,91.02568642635944,29.215249791207107
61.37466428065737,70.8321952988438,41.26871286149142
50.35234151382319,9.368057583774824,70.69868933578948
29.795028420188128,19.15526769528293,10.261362324025265
29.918907982893963,59.9509178816533,70.63431097165116
88.2013980959061,59.43949217730229,10.224463185950217
40.69869546892412,8.849625167400708,29.25662982321481
40.73442394784867,9.33337927337809,80.11705671817465
18.261065766846574,-0.6031349130505811,49.894315775907074
71.48918551234378,40.37282708609211,21.389935805033254
9.573921817423553,-0.4285172963957815,29.445287756737233
9.33513745392263,60.08228903005229,29.66424613151931
58.12779973796637,89.67308700303411,80.62015267825011
58.98791151269415,69.15978881158672,60.26140849150129
28.27703698024767,-1.0464977071360884,30.130537859422475
80.8397726035826,49.79253065310999,-0.2646180125750024
0.5586454173883131,89.70486811291691,60.37976404518202
-0.6575892770862748,9.452374600519734,30.22519357984334
